2018-09-21 09:09:01 1102 [main] INFO  c.softisland.app.SkcoinsApplication - Starting SkcoinsApplication on AQH5Q7JUUOCEZG5 with PID 118584 (F:\coins_space\skcoins-platform\skcoins\target\classes started by Administrator in F:\coins_space\skcoins-platform\skcoins)
2018-09-21 09:09:01 1108 [main] INFO  c.softisland.app.SkcoinsApplication - The following profiles are active: test
2018-09-21 09:09:09 9359 [main] INFO  c.softisland.app.SkcoinsApplication - Started SkcoinsApplication in 8.804 seconds (JVM running for 9.644)
2018-09-21 09:09:15 14936 [pool-4-thread-1] INFO  c.s.service.CallBackService - skcoin 回调内容({})
2018-09-21 09:09:15 14965 [pool-4-thread-1] INFO  c.s.service.CallBackService - skcoin 回调内容({})
2018-09-21 09:09:22 22571 [pool-2-thread-1] INFO  c.softisland.listener.BlockListener - (1537492162708)当前得到的最新块为:(3024358)
2018-09-21 09:09:25 24973 [pool-4-thread-1] INFO  c.s.service.CallBackService - skcoin 回调内容({})
2018-09-21 09:09:25 24976 [pool-4-thread-1] INFO  c.s.service.CallBackService - skcoin 回调内容({})
2018-09-21 09:10:14 1233 [main] INFO  c.softisland.app.SkcoinsApplication - Starting SkcoinsApplication on AQH5Q7JUUOCEZG5 with PID 146124 (F:\coins_space\skcoins-platform\skcoins\target\classes started by Administrator in F:\coins_space\skcoins-platform\skcoins)
2018-09-21 09:10:14 1239 [main] INFO  c.softisland.app.SkcoinsApplication - The following profiles are active: test
2018-09-21 09:10:22 8259 [main] INFO  c.softisland.app.SkcoinsApplication - Started SkcoinsApplication in 7.671 seconds (JVM running for 8.662)
2018-09-21 09:10:35 21769 [pool-2-thread-1] INFO  c.softisland.listener.BlockListener - (1537492235515)当前得到的最新块为:(3024362)
2018-09-21 09:10:38 24309 [main] INFO  c.s.l.BankRollContractListener - 开始的块信息(3020038)
2018-09-21 09:10:39 26093 [main] INFO  c.s.listener.SkCoinContractListener - 开始的块信息(3019741)
2018-09-21 09:10:50 36486 [pool-2-thread-4] INFO  c.softisland.listener.BlockListener - (1537492250232)当前得到的最新块为:(3024363)
2018-09-21 09:11:00 46392 [pool-4-thread-1] INFO  c.s.service.CallBackService - skcoin 回调内容({})
2018-09-21 09:11:05 51497 [pool-2-thread-2] INFO  c.softisland.listener.BlockListener - (1537492265243)当前得到的最新块为:(3024364)
2018-09-21 09:12:52 1122 [main] INFO  c.softisland.app.SkcoinsApplication - Starting SkcoinsApplication on AQH5Q7JUUOCEZG5 with PID 145344 (F:\coins_space\skcoins-platform\skcoins\target\classes started by Administrator in F:\coins_space\skcoins-platform\skcoins)
2018-09-21 09:12:52 1190 [main] INFO  c.softisland.app.SkcoinsApplication - The following profiles are active: test
2018-09-21 09:12:59 8462 [main] INFO  c.softisland.app.SkcoinsApplication - Started SkcoinsApplication in 7.864 seconds (JVM running for 8.86)
2018-09-21 09:13:13 22040 [pool-4-thread-1] INFO  c.s.service.CallBackService - skcoin 回调内容({"code":"200","data":{"currency":0,"divChoice":"0","eventName":"onTokenPurchaseEvent","nums":"500000000000000000","referredBy":"0x53b1a40cb3b13e60b8b1213b46b7e33894cddf8a","status":1,"tokenPrice":"653000000000000","tokensMinted":"750000000000000000000","tradePerson":"0x4d224ce14f7f555aed7e183950a8d34dd3e91345","transcaionHash":"0x98f9ebe897b9033794dc012d74315d731cedceffc9d5b04ce1de5d88c6684e22"},"msg":"成功","ret":1})
2018-09-21 09:13:13 22047 [pool-4-thread-1] INFO  c.s.service.CallBackService - skcoin 回调内容({"code":"200","data":{"currency":0,"divChoice":"0","eventName":"onTokenPurchaseEvent","nums":"100000000000000000","referredBy":"0x0000000000000000000000000000000000000000","status":1,"tokenPrice":"653000000000000","tokensMinted":"150000000000000000000","tradePerson":"0x10d75dbb2a2076da23848100161231e0671d205d","transcaionHash":"0x999591baab127ce1d618deedd250cdd9100e3bffe049d1bf1a75aa9f128572db"},"msg":"成功","ret":1})
2018-09-21 09:13:13 22236 [pool-2-thread-1] INFO  c.softisland.listener.BlockListener - (1537492393210)当前得到的最新块为:(3024373)
2018-09-21 09:13:15 24411 [main] INFO  c.s.l.BankRollContractListener - 开始的块信息(3020038)
